document_name,source_token,source_type,source_pos_tag,source_sentence_ID,source_token_ID,source_prev_tag,source_next_tag,target_token,target_type,target_pos_tag,target_sentence_ID,target_token_ID,target_prev_tag,target_next_tag,token_distance,sentence_distance,dependency_tags,relation_type
doc-20.3 - project manager approval,assesses,B-Activity,VBZ,2,10,B-Actor,B-Activity Data,the,B-Activity Data,DT,2,11,B-Activity,O,1,0,[0],uses
doc-20.3 - project manager approval,assesses,B-Activity,VBZ,2,10,B-Actor,B-Activity Data,Upon,B-AND Gateway,IN,4,0,O,O,10,2,[0],flow
doc-20.3 - project manager approval,Concurrently,B-AND Gateway,RB,3,0,O,B-Actor,assesses,B-Activity,VBZ,2,10,B-Actor,B-Activity Data,10,1,[0],flow
doc-20.3 - project manager approval,Concurrently,B-AND Gateway,RB,3,0,O,B-Actor,evaluates,B-Activity,VBZ,3,4,B-Actor,B-Activity Data,4,0,[0],flow
doc-20.3 - project manager approval,evaluates,B-Activity,VBZ,3,4,B-Actor,B-Activity Data,the,B-Actor,DT,3,1,B-AND Gateway,B-Activity,3,0,[0],actor performer
doc-20.3 - project manager approval,evaluates,B-Activity,VBZ,3,4,B-Actor,B-Activity Data,resource,B-Activity Data,JJ,3,5,B-Activity,O,1,0,[0],uses
doc-20.3 - project manager approval,evaluates,B-Activity,VBZ,3,4,B-Actor,B-Activity Data,Upon,B-AND Gateway,IN,4,0,O,O,4,1,[0],flow
doc-20.3 - project manager approval,Upon,B-AND Gateway,IN,4,0,O,O,reviews,B-Activity,VBZ,4,11,B-Actor,B-Activity Data,11,0,[0],flow
doc-20.3 - project manager approval,reviews,B-Activity,VBZ,4,11,B-Actor,B-Activity Data,the,B-Actor,DT,4,8,O,B-Activity,3,0,[0],actor performer
doc-20.3 - project manager approval,reviews,B-Activity,VBZ,4,11,B-Actor,B-Activity Data,the,B-Activity Data,DT,4,12,B-Activity,B-Further Specification,1,0,[0],uses
doc-20.3 - project manager approval,reviews,B-Activity,VBZ,4,11,B-Actor,B-Activity Data,in,B-Further Specification,IN,4,14,B-Activity Data,O,3,0,[0],further specification
doc-20.3 - project manager approval,reviews,B-Activity,VBZ,4,11,B-Actor,B-Activity Data,If,B-XOR Gateway,IN,5,0,O,B-Condition Specification,11,1,[0],flow
doc-20.3 - project manager approval,If,B-XOR Gateway,IN,5,0,O,B-Condition Specification,both,B-Condition Specification,DT,5,1,B-XOR Gateway,O,1,0,[0],flow
doc-20.3 - project manager approval,If,B-XOR Gateway,IN,5,0,O,B-Condition Specification,If,B-XOR Gateway,IN,6,0,O,B-Condition Specification,0,1,[0],same gateway
doc-20.3 - project manager approval,both,B-Condition Specification,DT,5,1,B-XOR Gateway,O,approves,B-Activity,VBZ,5,9,B-Actor,B-Activity Data,8,0,[0],flow
doc-20.3 - project manager approval,approves,B-Activity,VBZ,5,9,B-Actor,B-Activity Data,the,B-Activity Data,DT,5,10,B-Activity,O,1,0,[0],uses
doc-20.3 - project manager approval,If,B-XOR Gateway,IN,6,0,O,B-Condition Specification,at,B-Condition Specification,IN,6,1,B-XOR Gateway,O,1,0,[0],flow
doc-20.3 - project manager approval,at,B-Condition Specification,IN,6,1,B-XOR Gateway,O,requests,B-Activity,VBZ,6,11,B-Actor,B-Activity Data,10,0,[0],flow
doc-20.3 - project manager approval,requests,B-Activity,VBZ,6,11,B-Actor,B-Activity Data,the,B-Actor,DT,6,8,O,B-Activity,3,0,[0],actor performer
doc-20.3 - project manager approval,requests,B-Activity,VBZ,6,11,B-Actor,B-Activity Data,a,B-Activity Data,DT,6,12,B-Activity,O,1,0,[0],uses
doc-20.3 - project manager approval,requests,B-Activity,VBZ,6,11,B-Actor,B-Activity Data,the,B-Actor,DT,6,18,O,O,7,0,[0],actor recipient
doc-20.4 - procurement process,simultaneously,B-AND Gateway,RB,0,3,B-Actor,B-Activity,requests,B-Activity,VBZ,0,4,B-AND Gateway,B-Activity Data,1,0,[0],flow
doc-20.4 - procurement process,simultaneously,B-AND Gateway,RB,0,3,B-Actor,B-Activity,and,B-AND Gateway,CC,0,7,B-Activity Data,B-Activity,4,0,[0],same gateway
doc-20.4 - procurement process,simultaneously,B-AND Gateway,RB,0,3,B-Actor,B-Activity,evaluates,B-Activity,VBZ,0,8,B-AND Gateway,B-Activity Data,5,0,[0],flow
doc-20.4 - procurement process,requests,B-Activity,VBZ,0,4,B-AND Gateway,B-Activity Data,The,B-Actor,DT,0,0,NONE,B-AND Gateway,4,0,[0],actor performer
doc-20.4 - procurement process,requests,B-Activity,VBZ,0,4,B-AND Gateway,B-Activity Data,product,B-Activity Data,NN,0,5,B-Activity,B-AND Gateway,1,0,[0],uses
doc-20.4 - procurement process,requests,B-Activity,VBZ,0,4,B-AND Gateway,B-Activity Data,receiving,B-Activity,VBG,1,1,B-AND Gateway,B-Activity Data,3,1,[0],flow
doc-20.4 - procurement process,evaluates,B-Activity,VBZ,0,8,B-AND Gateway,B-Activity Data,The,B-Actor,DT,0,0,NONE,B-AND Gateway,8,0,[0],actor performer
doc-20.4 - procurement process,evaluates,B-Activity,VBZ,0,8,B-AND Gateway,B-Activity Data,delivery,B-Activity Data,NN,0,9,B-Activity,O,1,0,[0],uses
doc-20.4 - procurement process,evaluates,B-Activity,VBZ,0,8,B-AND Gateway,B-Activity Data,After,B-AND Gateway,IN,1,0,O,B-Activity,8,1,[0],flow
doc-20.4 - procurement process,After,B-AND Gateway,IN,1,0,O,B-Activity,evaluated,B-Activity,VBN,1,7,O,O,7,0,[0],flow
doc-20.4 - procurement process,receiving,B-Activity,VBG,1,1,B-AND Gateway,B-Activity Data,The,B-Actor,DT,0,0,NONE,B-AND Gateway,1,1,[0],actor recipient
doc-20.4 - procurement process,receiving,B-Activity,VBG,1,1,B-AND Gateway,B-Activity Data,After,B-AND Gateway,IN,1,0,O,B-Activity,1,0,[0],flow
doc-20.4 - procurement process,receiving,B-Activity,VBG,1,1,B-AND Gateway,B-Activity Data,all,B-Activity Data,DT,1,2,B-Activity,O,1,0,[0],uses
doc-20.4 - procurement process,evaluated,B-Activity,VBN,1,7,O,O,they,B-Activity Data,PRP,1,5,O,O,2,0,[0],uses
doc-20.4 - procurement process,evaluated,B-Activity,VBN,1,7,O,O,the,B-Actor,DT,1,9,O,O,2,0,[0],actor performer
doc-20.4 - procurement process,evaluated,B-Activity,VBN,1,7,O,O,signs,B-Activity,NNS,2,4,O,B-Activity Data,3,1,[0],flow
doc-20.4 - procurement process,signs,B-Activity,NNS,2,4,O,B-Activity Data,The,B-Actor,DT,2,0,O,O,4,0,[0],actor performer
doc-20.4 - procurement process,signs,B-Activity,NNS,2,4,O,B-Activity Data,a,B-Activity Data,DT,2,5,B-Activity,O,1,0,[0],uses
doc-20.5 - edit pictures,receiving,B-Activity,VBG,0,1,O,B-Activity Data,the,B-Activity Data,DT,0,2,B-Activity,O,1,0,[0],uses
doc-20.5 - edit pictures,receiving,B-Activity,VBG,0,1,O,B-Activity Data,the,B-Actor,DT,0,5,O,O,4,0,[0],actor recipient
doc-20.5 - edit pictures,receiving,B-Activity,VBG,0,1,O,B-Activity Data,cleaning,B-Activity,VBG,0,8,O,B-Activity Data,7,0,[0],flow
doc-20.5 - edit pictures,cleaning,B-Activity,VBG,0,8,O,B-Activity Data,the,B-Actor,DT,0,5,O,O,3,0,[0],actor performer
doc-20.5 - edit pictures,cleaning,B-Activity,VBG,0,8,O,B-Activity Data,them,B-Activity Data,PRP,0,9,B-Activity,O,1,0,[0],uses
doc-20.5 - edit pictures,cleaning,B-Activity,VBG,0,8,O,B-Activity Data,and,B-AND Gateway,CC,1,8,B-Activity Data,B-Activity,0,1,[0],flow
doc-20.5 - edit pictures,removing,B-Activity,VBG,1,3,O,B-Activity Data,He,B-Actor,PRP,1,0,O,O,3,0,[0],actor performer
doc-20.5 - edit pictures,removing,B-Activity,VBG,1,3,O,B-Activity Data,imperfections,B-Activity Data,NNS,1,4,B-Activity,O,1,0,[0],uses
doc-20.5 - edit pictures,removing,B-Activity,VBG,1,3,O,B-Activity Data,After,B-AND Gateway,IN,2,0,O,O,3,1,[0],flow
doc-20.5 - edit pictures,withening,B-Activity,VBG,1,6,O,B-Activity Data,He,B-Actor,PRP,1,0,O,O,6,0,[0],actor performer
doc-20.5 - edit pictures,withening,B-Activity,VBG,1,6,O,B-Activity Data,teeth,B-Activity Data,NNS,1,7,B-Activity,B-AND Gateway,1,0,[0],uses
doc-20.5 - edit pictures,withening,B-Activity,VBG,1,6,O,B-Activity Data,After,B-AND Gateway,IN,2,0,O,O,6,1,[0],flow
doc-20.5 - edit pictures,and,B-AND Gateway,CC,1,8,B-Activity Data,B-Activity,removing,B-Activity,VBG,1,3,O,B-Activity Data,5,0,[0],flow
doc-20.5 - edit pictures,and,B-AND Gateway,CC,1,8,B-Activity Data,B-Activity,withening,B-Activity,VBG,1,6,O,B-Activity Data,2,0,[0],flow
doc-20.5 - edit pictures,and,B-AND Gateway,CC,1,8,B-Activity Data,B-Activity,adjusting,B-Activity,VBG,1,9,B-AND Gateway,B-Activity Data,1,0,[0],flow
doc-20.5 - edit pictures,and,B-AND Gateway,CC,1,8,B-Activity Data,B-Activity,concurrently,B-AND Gateway,RB,1,12,B-Activity Data,O,4,0,[0],same gateway
doc-20.5 - edit pictures,adjusting,B-Activity,VBG,1,9,B-AND Gateway,B-Activity Data,He,B-Actor,PRP,1,0,O,O,9,0,[0],actor performer
doc-20.5 - edit pictures,adjusting,B-Activity,VBG,1,9,B-AND Gateway,B-Activity Data,light,B-Activity Data,JJ,1,10,B-Activity,B-AND Gateway,1,0,[0],uses
doc-20.5 - edit pictures,adjusting,B-Activity,VBG,1,9,B-AND Gateway,B-Activity Data,After,B-AND Gateway,IN,2,0,O,O,9,1,[0],flow
doc-20.5 - edit pictures,After,B-AND Gateway,IN,2,0,O,O,organizes,B-Activity,VBZ,2,10,O,B-Activity Data,10,0,[0],flow
doc-20.5 - edit pictures,organizes,B-Activity,VBZ,2,10,O,B-Activity Data,the,B-Actor,DT,2,7,O,O,3,0,[0],actor performer
doc-20.5 - edit pictures,organizes,B-Activity,VBZ,2,10,O,B-Activity Data,the,B-Activity Data,DT,2,11,B-Activity,B-Further Specification,1,0,[0],uses
doc-20.5 - edit pictures,organizes,B-Activity,VBZ,2,10,O,B-Activity Data,in,B-Further Specification,IN,2,13,B-Activity Data,O,3,0,[0],further specification
doc-20.6 - cooking pasta,collects,B-Activity,VBZ,0,2,B-Actor,B-Activity Data,The,B-Actor,DT,0,0,NONE,B-Activity,2,0,[0],actor performer
doc-20.6 - cooking pasta,collects,B-Activity,VBZ,0,2,B-Actor,B-Activity Data,the,B-Activity Data,DT,0,3,B-Activity,O,1,0,[0],uses
doc-20.6 - cooking pasta,collects,B-Activity,VBZ,0,2,B-Actor,B-Activity Data,heats,B-Activity,VBZ,1,2,O,B-Activity Data,0,1,[0],flow
doc-20.6 - cooking pasta,heats,B-Activity,VBZ,1,2,O,B-Activity Data,He,B-Actor,PRP,1,0,O,O,2,0,[0],actor performer
doc-20.6 - cooking pasta,heats,B-Activity,VBZ,1,2,O,B-Activity Data,a,B-Activity Data,DT,1,3,B-Activity,O,1,0,[0],uses
doc-20.6 - cooking pasta,heats,B-Activity,VBZ,1,2,O,B-Activity Data,on,B-Further Specification,IN,1,8,O,O,6,0,[0],further specification
doc-20.6 - cooking pasta,heats,B-Activity,VBZ,1,2,O,B-Activity Data,In,B-AND Gateway,IN,3,0,O,O,2,2,[0],flow
doc-20.6 - cooking pasta,cut,B-Activity,VB,2,2,O,B-Activity Data,He,B-Actor,PRP,2,0,O,O,2,0,[0],actor performer
doc-20.6 - cooking pasta,cut,B-Activity,VB,2,2,O,B-Activity Data,the,B-Activity Data,DT,2,3,B-Activity,O,1,0,[0],uses
doc-20.6 - cooking pasta,cut,B-Activity,VB,2,2,O,B-Activity Data,cook,B-Activity,VB,2,6,O,B-Activity Data,4,0,[0],flow
doc-20.6 - cooking pasta,cook,B-Activity,VB,2,6,O,B-Activity Data,He,B-Actor,PRP,2,0,O,O,6,0,[0],actor performer
doc-20.6 - cooking pasta,cook,B-Activity,VB,2,6,O,B-Activity Data,them,B-Activity Data,PRP,2,7,B-Activity,B-Further Specification,1,0,[0],uses
doc-20.6 - cooking pasta,cook,B-Activity,VB,2,6,O,B-Activity Data,in,B-Further Specification,IN,2,8,B-Activity Data,O,2,0,[0],further specification
doc-20.6 - cooking pasta,cook,B-Activity,VB,2,6,O,B-Activity Data,then,B-AND Gateway,RB,4,2,B-Actor,B-Activity,4,2,[0],flow
doc-20.6 - cooking pasta,In,B-AND Gateway,IN,3,0,O,O,cut,B-Activity,VB,2,2,O,B-Activity Data,2,1,[0],flow
doc-20.6 - cooking pasta,In,B-AND Gateway,IN,3,0,O,O,fills,B-Activity,VBZ,3,5,B-Actor,B-Activity Data,5,0,"[55, 61]",flow
doc-20.6 - cooking pasta,fills,B-Activity,VBZ,3,5,B-Actor,B-Activity Data,he,B-Actor,PRP,3,4,O,B-Activity,1,0,[0],actor performer
doc-20.6 - cooking pasta,fills,B-Activity,VBZ,3,5,B-Actor,B-Activity Data,a,B-Activity Data,DT,3,7,B-Activity,O,2,0,"[22, 61]",uses
doc-20.6 - cooking pasta,fills,B-Activity,VBZ,3,5,B-Actor,B-Activity Data,salts,B-Activity,VBP,3,12,O,B-Activity Data,7,0,[0],flow
doc-20.6 - cooking pasta,salts,B-Activity,VBP,3,12,O,B-Activity Data,he,B-Actor,PRP,3,4,O,B-Activity,8,0,[0],actor performer
doc-20.6 - cooking pasta,salts,B-Activity,VBP,3,12,O,B-Activity Data,the,B-Activity Data,DT,3,13,B-Activity,O,1,0,[0],uses
doc-20.6 - cooking pasta,salts,B-Activity,VBP,3,12,O,B-Activity Data,boils,B-Activity,VBZ,3,16,O,B-Activity Data,4,0,[0],flow
doc-20.6 - cooking pasta,boils,B-Activity,VBZ,3,16,O,B-Activity Data,he,B-Actor,PRP,3,4,O,B-Activity,12,0,[0],actor performer
doc-20.6 - cooking pasta,boils,B-Activity,VBZ,3,16,O,B-Activity Data,it,B-Activity Data,PRP,3,17,B-Activity,B-Further Specification,1,0,[0],uses
doc-20.6 - cooking pasta,boils,B-Activity,VBZ,3,16,O,B-Activity Data,on,B-Further Specification,IN,3,18,B-Activity Data,O,2,0,[0],further specification
doc-20.6 - cooking pasta,boils,B-Activity,VBZ,3,16,O,B-Activity Data,then,B-AND Gateway,RB,4,2,B-Actor,B-Activity,14,1,[0],flow
doc-20.6 - cooking pasta,then,B-AND Gateway,RB,4,2,B-Actor,B-Activity,cooks,B-Activity,VBZ,4,3,B-AND Gateway,B-Activity Data,1,0,[0],flow
doc-20.6 - cooking pasta,cooks,B-Activity,VBZ,4,3,B-AND Gateway,B-Activity Data,The,B-Actor,DT,4,0,O,B-AND Gateway,3,0,[0],actor performer
doc-20.6 - cooking pasta,cooks,B-Activity,VBZ,4,3,B-AND Gateway,B-Activity Data,his,B-Activity Data,PRP$,4,4,B-Activity,B-Further Specification,1,0,[0],uses
doc-20.6 - cooking pasta,cooks,B-Activity,VBZ,4,3,B-AND Gateway,B-Activity Data,in,B-Further Specification,IN,4,6,B-Activity Data,O,3,0,[0],further specification
doc-20.6 - cooking pasta,cooks,B-Activity,VBZ,4,3,B-AND Gateway,B-Activity Data,serves,B-Activity,VBZ,5,7,B-Actor,B-Activity Data,4,1,[0],flow
doc-20.6 - cooking pasta,serves,B-Activity,VBZ,5,7,B-Actor,B-Activity Data,he,B-Actor,PRP,5,6,O,B-Activity,1,0,[0],actor performer
doc-20.6 - cooking pasta,serves,B-Activity,VBZ,5,7,B-Actor,B-Activity Data,the,B-Activity Data,DT,5,8,B-Activity,O,1,0,[0],uses
doc-20.7 - marketing team,convenes,B-Activity,NNS,0,3,B-Actor,O,The,B-Actor,DT,0,0,NONE,B-Activity,3,0,[0],actor performer
doc-20.7 - marketing team,convenes,B-Activity,NNS,0,3,B-Actor,O,for,B-Further Specification,IN,0,6,O,O,3,0,[0],further specification
doc-20.7 - marketing team,convenes,B-Activity,NNS,0,3,B-Actor,O,launch,B-Activity,VBP,1,3,B-Actor,B-Activity Data,0,1,[0],flow
doc-20.7 - marketing team,launch,B-Activity,VBP,1,3,B-Actor,B-Activity Data,they,B-Actor,PRP,1,2,O,B-Activity,1,0,[0],actor performer
doc-20.7 - marketing team,launch,B-Activity,VBP,1,3,B-Actor,B-Activity Data,the,B-Activity Data,DT,1,4,B-Activity,O,1,0,[0],uses
doc-20.7 - marketing team,launch,B-Activity,VBP,1,3,B-Actor,B-Activity Data,review,B-Activity,VB,1,10,O,B-Activity Data,7,0,[0],flow
doc-20.7 - marketing team,review,B-Activity,VB,1,10,O,B-Activity Data,they,B-Actor,PRP,1,2,O,B-Activity,8,0,[0],actor performer
doc-20.7 - marketing team,review,B-Activity,VB,1,10,O,B-Activity Data,the,B-Activity Data,DT,1,11,B-Activity,O,1,0,[0],uses
